post_id,date,text,sentiment_score,emotion,distress_score,risk_level,clean_text
P08153,2021-03-28,Very going out and sunny.,0.543058683801605,Neutral,0.1144700423087567,Low Risk,very going out and sunny
P08899,2021-03-28,Feeling sunny today.,0.4466267298852092,Neutral,0.1811251001645991,Low Risk,feeling sunny today
P09699,2021-03-28,Very movie and friends.,0.5168653945713795,Neutral,0.002328284040361,Low Risk,very movie and friends
P05887,2021-03-28,Today was really lonely.,-0.1054006099264678,Disgust,0.4260413721143906,Medium Risk,today was really lonely
P06203,2021-03-29,Today was really overwhelmed.,-0.047411754159884,Sadness,0.5379726765865482,Medium Risk,today was really overwhelmed
P05393,2021-03-29,Very dinner and okay.,0.9498901378200352,Happiness,0.2725462302322238,Low Risk,very dinner and okay
P09939,2021-03-29,Feeling dinner today.,0.2612754013129187,Neutral,0.1395382115784607,Low Risk,feeling dinner today
P05023,2021-03-29,Very fun and working.,0.7453827496441074,Surprise,0.0599238509697821,Low Risk,very fun and working
P07067,2021-03-29,Feeling happy today.,0.7651871905139045,Surprise,0.1118451593701753,Low Risk,feeling happy today
P08731,2021-03-29,I am stressed and overwhelmed lately.,-0.1161399054460477,Anger,0.6696391582807358,Medium Risk,i am stressed and overwhelmed lately
P03648,2021-03-30,I am heavy and anxious lately.,-0.0416180491241974,Anger,0.607700849472917,Medium Risk,i am heavy and anxious lately
P09799,2021-03-30,"I can't take this hurt myself anymore, it's end it all and I want to suffering.",-0.7653974996901809,Fear,0.7437054104159819,High Risk,i cant take this hurt myself anymore its end it all and i want to suffering
P04582,2021-03-30,I am dark and stressed lately.,0.016435859176467,Anger,0.5531126219886586,Medium Risk,i am dark and stressed lately
P05971,2021-03-30,Very fun and sunny.,0.4501300346767283,Happiness,0.3306732109084683,Low Risk,very fun and sunny
P01555,2021-03-30,Feeling fun today.,0.4201360899904544,Surprise,0.3725915970386723,Low Risk,feeling fun today
P01074,2021-03-31,I am sad and overwhelmed lately.,-0.1145356343914039,Disgust,0.6820549573756247,Medium Risk,i am sad and overwhelmed lately
P05901,2021-03-31,I am sad and tired lately.,-0.1750158784568117,Disgust,0.4490144369393651,Medium Risk,i am sad and tired lately
P04047,2021-03-31,Very friends and dinner.,0.233282586684257,Happiness,0.3394511194883913,Low Risk,very friends and dinner
P07499,2021-03-31,I am tired and stressed lately.,0.1580828870390284,Sadness,0.5953611879867521,Medium Risk,i am tired and stressed lately
P04829,2021-03-31,I am feeling so pain. I just want to pain.,-0.8322428269603397,Fear,0.916376229228922,High Risk,i am feeling so pain i just want to pain
P02437,2021-04-01,I am sad and lonely lately.,0.064208197341939,Fear,0.669591678490331,Medium Risk,i am sad and lonely lately
P00897,2021-04-01,Feeling friends today.,0.476183962935978,Surprise,0.0662992707860882,Low Risk,feeling friends today
